B2Reft2,B3Reft3,B4Reft4,B5Reft5,B6Reft6,B7Reft7,Area,SoilTeam,LandClass,Phosphorus,Potassium,Boron,Calcium,Magnesium,Manganese
0.14,0.89,0.79,0.05,0.23,0.07,Badarganj,Pirgachha,HL,0.0008546,0.23,0.00019,0.5,0.38,0.0137
0.17,0.91,0.81,0.05,0.24,0.08,Badarganj,Pirgachha,HL,0.0008332,0.23,0.00015,0.51,0.23,0.0303
0.19,0.92,0.82,0.05,0.24,0.08,Badarganj,Pirgachha,HL,0.0006366,0.18,0.00019,0.5,0.11,0.0147
0.22,0.94,0.84,0.05,0.25,0.08,Badarganj,Pirgachha,HL,0.000885,0.16,0.00015,0.3,0.1,0.0138
0.24,0.96,0.86,0.06,0.25,0.08,Badarganj,Pirgachha,HL,0.0003627,0.19,0.00022,0.25,0.06,0.069
0.26,0.98,0.87,0.06,0.26,0.08,Badarganj,Pirgachha,HL,0.0005219,0.22,0.00044,0.15,0.44,0.023
0.29,1,0.89,0.06,0.26,0.08,Badarganj,Pirgachha,HL,0.0004907,0.17,0.00019,0.29,0.04,0.0332
0.31,0,0.9,0.06,0.27,0.09,Badarganj,Pirgachha,HL,0.0001603,0.18,0.00025,0.78,0.19,0.0231
0.33,0.02,0.92,0.06,0.27,0.09,Badarganj,Pirgachha,HL,0.0009173,0.22,0.00029,0.12,0.14,0.0332
0.36,0.04,0.94,0.06,0.28,0.09,Badarganj,Pirgachha,HL,0.0004533,0.21,0.0004,0.35,0.2,0.055
0.38,0.05,0.95,0.06,0.28,0.09,Badarganj,Pirgachha,HL,0.000598,0.17,0.00015,0.27,0.26,0.087
0.41,0.07,0.97,0.06,0.29,0.09,Badarganj,Pirgachha,HL,0.0008838,0.11,0.0002,0.35,0.37,0.021
0.43,0.09,0.98,0.06,0.29,0.09,Badarganj,Pirgachha,HL,0.000388,0.33,0.00015,0.99,0.25,0.0302
0.45,0.11,1,0.07,0.3,0.09,Badarganj,Pirgachha,HL,0.0001072,0.13,0.00015,0.67,0.3,0.0142
0.48,0.13,0,0.07,0.3,0.1,Badarganj,Pirgachha,HL,0.000841,0.17,0.00025,0.7,0.47,0.0321
0.5,0.15,0.02,0.07,0.31,0.1,Badarganj,Palashbari,HL,0.000108,0.11,0.0002,0.57,0.31,0.0144
0.53,0.16,0.03,0.07,0.31,0.1,Badarganj,Palashbari,HL,0.000789,0.12,0.0002,0.88,0.25,0.0315
0.55,0.18,0.05,0.07,0.32,0.1,Badarganj,Palashbari,HL,0.0001311,0.11,0.00025,0.68,0.28,0.0607
0.57,0.2,0.06,0.07,0.32,0.1,Badarganj,Jamun,MEL,0.0004681,0.12,0.0002,0.62,0.32,0.0345
0.6,0.22,0.08,0.07,0.33,0.1,Badarganj,Gangachora,MEL,0.0001129,0.31,0.00045,0.61,0.13,0.0238
0.62,0.24,0.1,0.07,0.33,0.1,Badarganj,Pirgachha,HL,0.00010994,0.31,0.00025,0.89,0.19,0.0122
0.65,0.25,0.11,0.07,0.34,0.11,Badarganj,Pirgachha,HL,0.0001068,0.23,0.00025,0.42,0.11,0.0293
0.67,0.27,0.13,0.07,0.34,0.11,Badarganj,Pirgachha,HL,0.000867,0.19,0.00015,0.42,0.19,0.0343
0.69,0.29,0.15,0.08,0.35,0.11,Badarganj,Pirgachha,HL,0.0003591,0.23,0.00025,0.21,0.21,0.0196
0.72,0.31,0.16,0.08,0.35,0.11,Badarganj,Pirgachha,HL,0.0008203,0.24,0.00035,0.26,0.13,0.0323
0.74,0.33,0.18,0.08,0.35,0.11,Badarganj,Pirgachha,HL,0.0006061,0.19,0.00025,0.49,0.27,0.0303
0.77,0.34,0.19,0.08,0.36,0.11,Badarganj,Pirgachha,HL,0.0008375,0.2,0.00025,0.38,0.32,0.0243
0.79,0.36,0.21,0.08,0.36,0.12,Badarganj,Pirgachha,HL,0.0003993,0.27,0.00025,0.77,0.19,0.0596
0.81,0.38,0.23,0.08,0.37,0.12,Badarganj,Palashbari,HL,0.0003119,0.24,0.00025,0.79,0.31,0.0356
0.84,0.4,0.24,0.08,0.37,0.12,Badarganj,Palashbari,HL,0.0001733,0.12,0.00035,0.6,0.37,0.0176
0.86,0.42,0.26,0.08,0.38,0.12,Badarganj,Palashbari,HL,0.0002296,0.1,0.00045,0.84,0.1,0.0196
0.89,0.44,0.27,0.08,0.38,0.12,Badarganj,Palashbari,HL,0.0002545,0.21,0.0002,0.83,0.11,0.0117
0.91,0.45,0.29,0.09,0.39,0.12,Badarganj,Palashbari,HL,0.0008688,0.16,0.0002,0.2,0.25,0.08
0.93,0.47,0.31,0.09,0.39,0.12,Badarganj,Palashbari,HL,0.0002282,0.17,0.00028,0.36,0.16,0.0147
0.96,0.49,0.32,0.09,0.4,0.13,Badarganj,Palashbari,HL,0.0003921,0.18,0.00032,0.71,0.24,0.0187
0.98,0.51,0.34,0.09,0.4,0.13,Badarganj,Palashbari,HL,0.0003676,0.16,0.0002,0.45,0.3,0.0182
1,0.53,0.36,0.09,0.41,0.13,Badarganj,Palashbari,HL,0.0005647,0.32,0.0002,0.63,0.29,0.0286
0,0.54,0.37,0.09,0.41,0.13,Badarganj,Palashbari,HL,0.0005328,0.19,0.0002,0.65,0.2,0.0227
0.02,0.56,0.39,0.09,0.42,0.13,Badarganj,Palashbari,HL,0.0005669,0.12,0.0002,0.52,0.17,0.018
0.05,0.58,0.4,0.09,0.42,0.13,Badarganj,Palashbari,HL,0.0001699,0.12,0.00024,0.51,0.19,0.0208
0.07,0.6,0.42,0.09,0.43,0.14,Badarganj,Palashbari,HL,0.000982,0.11,0.00016,0.36,0.1,0.0135
0.1,0.62,0.44,0.09,0.43,0.14,Badarganj,Palashbari,HL,0.0001993,0.16,0.00016,0.23,0.28,0.0286
0.12,0.63,0.45,0.1,0.44,0.14,Badarganj,Palashbari,HL,0.0006417,0.11,0.00028,0.74,0.19,0.0373
0.14,0.65,0.47,0.1,0.44,0.14,Badarganj,Palashbari,HL,0.000222,0.3,0.00016,0.55,0.16,0.087
0.17,0.67,0.48,0.1,0.45,0.14,Badarganj,Jamun,HL,0.0003031,0.21,0.00016,0.4,0.21,0.0113
0.19,0.69,0.5,0.1,0.45,0.14,Badarganj,Jamum,HL,0.00017,0.19,0.00024,0.48,0.35,0.0139
0.22,0.71,0.52,0.1,0.46,0.14,Badarganj,Gangachora,HL,0.0001684,0.36,0.0002,0.89,0.14,0.0186
0.24,0.73,0.53,0.1,0.46,0.15,Badarganj,Gangachora,HL,0.0001882,0.12,0.00024,0.61,0.27,0.0253
0.26,0.74,0.55,0.1,0.46,0.15,Badarganj,Gangachora,HL,0.0003968,0.13,0.00024,0.72,0.18,0.0213
0.29,0.76,0.56,0.1,0.47,0.15,Badarganj,Mandha,MEL,0.0001023,0.29,0.00028,0.62,0.42,0.0274
0.31,0.78,0.58,0.1,0.47,0.15,Badarganj,Mandha,MEL,0.000847,0.09,0.0002,0.72,0.09,0.079
0.33,0.8,0.6,0.11,0.48,0.15,Badarganj,Gangachora,MEL,0.0001388,0.14,0.00028,0.62,0.23,0.0126
0.36,0.82,0.61,0.11,0.48,0.15,Badarganj,Gangachora,MEL,0.000745,0.19,0.00016,0.36,0.31,0.0374
0.38,0.83,0.63,0.11,0.49,0.16,Badarganj,Gangachora,MEL,0.000922,0.2,0.00032,0.99,0.27,0.0217
0.41,0.85,0.65,0.11,0.49,0.16,Badarganj,Gangachora,MEL,0.0001702,0.14,0.0002,0.41,0.18,0.0575
0.43,0.87,0.66,0.11,0.5,0.16,Badarganj,Gangachora,MEL,0.000686,0.21,0.00032,0.71,0.23,0.0431
0.45,0.89,0.68,0.11,0.5,0.16,Badarganj,Gangachora,MEL,0.000783,0.12,0.00036,0.59,0.2,0.01218
0.48,0.91,0.69,0.11,0.51,0.16,Badarganj,Gangachora,MEL,0.0002147,0.1,0.00065,0.78,0.25,0.0549
0.5,0.92,0.71,0.11,0.51,0.16,Badarganj,Gangachora,MEL,0.0002167,0.11,0.00028,0.41,0.27,0.0672
0.53,0.94,0.73,0.11,0.52,0.16,Badarganj,Gangachora,MEL,0.000684,0.07,0.00028,0.4,0.16,0.0311
0.55,0.96,0.74,0.12,0.52,0.17,Badarganj,Gangachora,MEL,0.000746,0.09,0.00024,0.59,0.38,0.0323
0.57,0.98,0.76,0.12,0.53,0.17,Badarganj,Gangachora,MEL,0.0006158,0.18,0.00021,0.64,0.16,0.031
0.6,1,0.77,0.12,0.53,0.17,Badarganj,Gangachora,MEL,0.0001238,0.14,0.00035,0.4,0.15,0.0263
0.62,0,0.79,0.12,0.54,0.17,Badarganj,Gangachora,MEL,0.0001879,0.13,0.0002,0.43,0.18,0.025
0.65,0.02,0.81,0.12,0.54,0.17,Badarganj,Gangachora,MEL,0.0001448,0.33,0.0002,0.65,0.18,0.0396
0.67,0.04,0.82,0.12,0.55,0.17,Badarganj,Gangachora,MEL,0.000802,0.18,0.00024,0.32,0.23,0.0411
0.69,0.05,0.84,0.12,0.55,0.17,Badarganj,Gangachora,MEL,0.0001738,0.12,0.00018,0.47,0.22,0.0329
0.72,0.07,0.86,0.12,0.56,0.18,Badarganj,Gangachora,MEL,0.000596,0.1,0.00025,0.49,0.28,0.0352
0.74,0.09,0.87,0.12,0.56,0.18,Badarganj,Gangachora,MEL,0.0002181,0.12,0.0002,0.44,0.26,0.0347
0.77,0.11,0.89,0.12,0.57,0.18,Badarganj,Gangachora,MEL,0.000792,0.12,0.0002,0.28,0.36,0.0269
0.79,0.13,0.9,0.13,0.57,0.18,Badarganj,Kaunia,MEL,0.0001783,0.12,0.00021,0.48,0.2,0.0328
0.81,0.15,0.92,0.13,0.58,0.18,Badarganj,Kaunia,MEL,0.0001643,0.13,0.00028,0.59,0.47,0.0326
0.84,0.16,0.94,0.13,0.58,0.18,Badarganj,Kaunia,MEL,0.0001033,0.09,0.00028,0.81,0.38,0.0373
0.86,0.18,0.95,0.13,0.58,0.19,Badarganj,Kaunia,MEL,0.0002105,0.12,0.00032,0.53,0.27,0.0311
0.89,0.2,0.97,0.13,0.59,0.19,Badarganj,Kaunia,MEL,0.000511,0.29,0.00032,1.05,0.25,0.028
0.91,0.22,0.98,0.13,0.59,0.19,Badarganj,Kaunia,MEL,0.0001079,0.09,0.00025,0.99,0.26,0.0401
0.93,0.24,1,0.13,0.6,0.19,Badarganj,Kaunia,MEL,0.000525,0.08,0.00028,0.67,0.56,0.0248
0.96,0.25,0,0.13,0.6,0.19,Badarganj,Kaunia,MEL,0.000906,0.14,0.00032,1.25,0.29,0.04
0.98,0.27,0.02,0.13,0.61,0.19,Badarganj,Kaunia,MEL,0.0003053,0.12,0.00032,0.89,0.24,0.0368
1,0.29,0.03,0.14,0.61,0.19,Badarganj,Kaunia,MEL,0.000106,0.16,0.00028,0.94,0.26,0.0324
0,0.31,0.05,0.14,0.62,0.2,Badarganj,Kaunia,MEL,0.0001244,0.14,0.00028,0.92,0.32,0.0388
0.02,0.33,0.06,0.14,0.62,0.2,Badarganj,Gangachora,MEL,0.000459,0.1,0.0005,0.63,0.32,0.01003
0.05,0.34,0.08,0.14,0.63,0.2,Badarganj,Gangachora,MEL,0.000906,0.23,0.00037,0.65,0.35,0.0281
0.07,0.36,0.1,0.14,0.63,0.2,Badarganj,Bhimpur,MEL,0.000999,0.13,0.00043,0.79,0.42,0.0478
0.1,0.38,0.11,0.14,0.64,0.2,Badarganj,Bhimpur,MEL,0.0001035,0.14,0.00025,0.66,0.32,0.0584
0.12,0.4,0.13,0.14,0.64,0.2,Badarganj,Bhimpur,MEL,0.000827,0.17,0.0002,0.8,0.21,0.0386
0.14,0.42,0.15,0.14,0.65,0.21,Badarganj,Bhimpur,MEL,0.0001815,0.19,0.00028,0.8,0.37,0.0191
0.17,0.44,0.16,0.14,0.65,0.21,Badarganj,Indrail,MEL,0.000541,0.15,0.00024,0.93,0.52,0.049
0.19,0.45,0.18,0.14,0.66,0.21,Badarganj,Indrail,MEL,0.000554,0.15,0.00032,0.36,0.3,0.0137
0.22,0.47,0.19,0.15,0.66,0.21,Badarganj,Gangachora,MEL,0.000601,0.11,0.0002,0.76,0.13,0.0202
0.24,0.49,0.21,0.15,0.67,0.21,Badarganj,Kaunia,MEL,0.0001168,0.11,0.00024,0.66,0.42,0.028
0.26,0.51,0.23,0.15,0.67,0.21,Badarganj,Kaunia,MEL,0.000712,0.1,0.0002,0.8,0.33,0.0191
0.29,0.53,0.24,0.15,0.68,0.21,Badarganj,Lashkora,MEL,0.000658,0.12,0.00024,1.2,0.52,0.0554
0.31,0.54,0.26,0.15,0.68,0.22,Badarganj,TeestaSandySoil,MEL,0.0001409,0.13,0.00016,0.64,0.28,0.0161
0.33,0.56,0.27,0.15,0.69,0.22,Badarganj,TeestaAlluvialSoil,MEL,0.0001962,0.13,0.0002,0.5,0.29,0.0148
0.36,0.58,0.29,0.15,0.69,0.22,Badarganj,TeestaSandySoil,MEL,0.0001518,0.15,0.00015,0.84,0.28,0.0158
0.38,0.6,0.31,0.15,0.69,0.22,Badarganj,TeestaAlluvialSoil,MEL,0.0001908,0.12,0.0002,0.97,0.39,0.0193
0.41,0.62,0.32,0.15,0.7,0.22,Fulbari,Pirgachha,HL,0.0212,0.23,0.00023,3.28,0.9,0.00514
0.43,0.63,0.34,0.16,0.7,0.22,Fulbari,Pirgachha,HL,0.02412,0.3,0.0003,1.18,0.34,0.00431
0.45,0.65,0.36,0.16,0.71,0.23,Fulbari,Pirgachha,HL,0.1037,0.14,0.0004,2.64,0.55,0.01591
0.48,0.67,0.37,0.16,0.71,0.23,Fulbari,Palashbari,HL,0.08073,0.13,0.00022,3.51,1.1,0.00727
0.5,0.69,0.39,0.16,0.72,0.23,Fulbari,Palashbari,HL,0.02465,0.2,0.00025,2.38,0.65,0.00302
0.53,0.71,0.4,0.16,0.72,0.23,Fulbari,Palashbari,HL,0.00876,0.15,0.00029,1.95,0.5,0.00972
0.55,0.73,0.42,0.16,0.73,0.23,Fulbari,Palashbari,HL,0.01854,0.45,0.00055,2.02,0.61,0.05496
0.57,0.74,0.44,0.16,0.73,0.23,Fulbari,Palashbari,HL,0.0526,0.16,0.00028,2.3,0.75,0.03042
0.6,0.76,0.45,0.16,0.74,0.23,Fulbari,Palashbari,HL,0.01081,0.11,0.00028,3.55,1.26,0.01153
0.62,0.78,0.47,0.16,0.74,0.24,Fulbari,Palashbari,HL,0.04335,0.14,0.00018,2.6,0.58,0.00605
0.65,0.8,0.48,0.16,0.75,0.24,Fulbari,Palashbari,HL,0.027,0.31,0.0001,3.7,1.05,0.258
0.67,0.82,0.5,0.17,0.75,0.24,Fulbari,Gangachara,HL,0.00861,0.1,0.00029,2.52,0.7,0.00271
0.69,0.83,0.52,0.17,0.76,0.24,Fulbari,Gangachara,HL,0.00803,0.12,0.00013,4.38,1.53,0.00847
0.72,0.85,0.53,0.17,0.76,0.24,Fulbari,Gangachara,HL,0.01043,0.1,0.00048,2.22,0.65,0.00289
0.74,0.87,0.55,0.17,0.77,0.24,Fulbari,Gangachara,HL,0.00583,0.17,0.00047,2.53,0.8,0.00848
0.77,0.89,0.56,0.17,0.77,0.24,Fulbari,Gangachara,HL,0.00506,0.12,0.00014,5,1.6,0.02351
0.79,0.91,0.58,0.17,0.78,0.25,Fulbari,Gangachara,HL,0.01436,0.1,0.00006,2.92,0.9,0.012
0.81,0.92,0.6,0.17,0.78,0.25,Fulbari,Gangachara,HL,0.01611,0.15,0.00006,3.92,1.16,0.01321
0.84,0.94,0.61,0.17,0.79,0.25,Fulbari,Gangachara,HL,0.01596,0.15,0.00024,5.27,1.45,0.01018
0.86,0.96,0.63,0.17,0.79,0.25,Fulbari,Gangachara,MEL,0.01015,0.1,0.00015,2.5,0.48,0.00274
0.89,0.98,0.65,0.18,0.8,0.25,Fulbari,Gangachara,MEL,0.00592,0.08,0.00011,3.2,0.88,0.00592
0.91,1,0.66,0.18,0.8,0.25,Fulbari,Gangachara,HL,0.00648,0.08,0.0006,2.21,0.65,0.00455
0.93,0,0.68,0.18,0.81,0.26,Fulbari,Gangachara,HL,0.01064,0.1,0.00079,2.23,0.62,0.00424
0.96,0.02,0.69,0.18,0.81,0.26,Fulbari,Gangachara,HL,0.00825,0.12,0.00078,1.91,0.51,0.00361
0.98,0.04,0.71,0.18,0.81,0.26,Fulbari,Gangachara,HL,0.01301,0.11,0.00079,2.6,0.81,0.03072
1,0.05,0.73,0.18,0.82,0.26,Fulbari,Gangachara,HL,0.00815,0.09,0.0009,1.63,0.42,0.003
0,0.07,0.74,0.18,0.82,0.26,Fulbari,Gangachara,HL,0.00685,0.15,0.0009,7.27,1.77,0.0145
0.02,0.09,0.76,0.18,0.83,0.26,Fulbari,Gangachara,HL,0.00507,0.21,0.00119,4.76,1.43,0.00685
0.05,0.11,0.77,0.18,0.83,0.26,Fulbari,Gangachara,HL,0.01868,0.12,0.00095,8.72,2,0.00486
0.07,0.13,0.79,0.18,0.84,0.27,Fulbari,Gangachara,MEL,0.0053,0.09,0.00015,4.27,1.4,0.00978
0.1,0.15,0.81,0.19,0.84,0.27,Fulbari,Gangachara,MEL,0.01338,0.11,0.00018,2.79,0.82,0.00547
0.12,0.16,0.82,0.19,0.85,0.27,Fulbari,Gangachara,HL,0.00781,0.11,0.00034,2.97,0.92,0.0106
0.14,0.18,0.84,0.19,0.85,0.27,Fulbari,Gangachara,HL,0.00613,0.14,0.00022,2.32,0.75,0.01049
0.17,0.2,0.86,0.19,0.86,0.27,Fulbari,Gangachara,HL,0.00705,0.12,0.00023,2.9,0.84,0.00816
0.19,0.22,0.87,0.19,0.86,0.27,Fulbari,Gangachara,HL,0.01,0.12,0.00034,3.67,0.86,0.01175
0.22,0.24,0.89,0.19,0.87,0.28,Fulbari,Gangachara,HL,0.00695,0.1,0.00021,2.21,0.6,0.00692
0.24,0.25,0.9,0.19,0.87,0.28,Fulbari,Gangachara,HL,0.0041,0.18,0.0003,2.75,0.84,0.01821
0.26,0.27,0.92,0.19,0.88,0.28,Fulbari,Gangachara,HL,0.00598,0.09,0.00023,6.16,1.81,0.00926
0.29,0.29,0.94,0.19,0.88,0.28,Fulbari,Gangachara,HL,0.00338,0.2,0.00026,4.95,1.85,0.03223
0.31,0.31,0.95,0.2,0.89,0.28,Fulbari,Gangachara,HL,0.00355,0.09,0.00018,4.5,1.44,0.00627
0.33,0.33,0.97,0.2,0.89,0.28,Fulbari,Gangachara,HL,0.00352,0.12,0.00017,5.78,1.07,0.00531
0.36,0.34,0.98,0.2,0.9,0.28,Fulbari,Gangachara,MEL,0.00761,0.09,0.0002,2.9,1.77,0.00493
0.38,0.36,1,0.2,0.9,0.29,Fulbari,Gangachara,MEL,0.01002,0.13,0.00021,1.8,0.71,0.00198
0.41,0.38,0,0.2,0.91,0.29,Fulbari,Gangachara,MEL,0.01363,0.16,0.00016,2.44,0.45,0.01785
0.43,0.4,0.02,0.2,0.91,0.29,Fulbari,Jamun,HL,0.02116,0.21,0.00023,2.5,0.7,0.00812
0.45,0.42,0.03,0.2,0.92,0.29,Fulbari,Jamun,HL,0.02364,0.15,0.00042,2.92,0.9,0.01008
0.48,0.44,0.05,0.2,0.92,0.29,Fulbari,Jamun,HL,0.00996,0.12,0.00039,2.53,0.87,0.00528
0.5,0.45,0.06,0.2,0.92,0.29,Fulbari,Jamun,HL,0.00921,0.14,0.00048,1.8,0.53,0.00556
0.53,0.47,0.08,0.2,0.93,0.3,Fulbari,Jamun,HL,0.03077,0.11,0.00024,2.81,0.62,0.02
0.55,0.49,0.1,0.21,0.93,0.3,Fulbari,Jamun,HL,0.00902,0.12,0.00021,2.42,0.63,0.00835
0.57,0.51,0.11,0.21,0.94,0.3,Fulbari,Jamun,HL,0.00983,0.09,0.00021,2.35,0.62,0.00243
0.6,0.53,0.13,0.21,0.94,0.3,Fulbari,Jamun,HL,0.04387,0.25,0.00024,2.63,0.79,0.00886
0.62,0.54,0.15,0.21,0.95,0.3,Fulbari,Kaunia,MEL,0.00408,0.15,0.00008,2.5,0.76,0.02137
0.65,0.56,0.16,0.21,0.95,0.3,Fulbari,Kaunia,MEL,0.0029,0.14,0.00007,3.1,0.87,0.01097
0.67,0.58,0.18,0.21,0.96,0.3,Fulbari,Kaunia,MEL,0.00193,0.12,0.00006,4.56,1.42,0.021
0.69,0.6,0.19,0.21,0.96,0.31,Fulbari,Kaunia,MEL,0.00747,0.22,0.00006,3,0.18,0.00511
0.72,0.62,0.21,0.21,0.97,0.31,Fulbari,Kaunia,MEL,0.00323,0.12,0.00008,3.26,0.89,0.00944
0.74,0.63,0.23,0.21,0.97,0.31,Fulbari,Kaunia,MEL,0.00439,0.16,0.0001,3.37,0.79,0.01256
0.77,0.65,0.24,0.22,0.98,0.31,Fulbari,Kaunia,MEL,0.00501,0.17,0.0001,7.42,1.18,0.01572
0.79,0.67,0.26,0.22,0.98,0.31,Fulbari,Kaunia,MEL,0.0058,0.12,0.0002,4.36,1.07,0.00351
0.81,0.69,0.27,0.22,0.99,0.31,Fulbari,Kaunia,MEL,0.00421,0.11,0.00009,5.52,1.35,0.00898
0.84,0.71,0.29,0.22,0.99,0.31,Fulbari,Kaunia,MLL,0.00695,0.29,0.00013,3.47,0.86,0.0175
